S.No,villagename,Education,schoolcollegedifficulties,healthcare,waterfacility,cleanwaterdifficulties,transport,difficultiesinsocialactivities,socialsolidarity,preplandisaster,roadfacilities,electricity,governmentoffer,managementfacilities,employmentdifficulties,awaresocialmedia,library,sanitation,awareofgovnplan ,smart
1,Alivalam,yes,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes
2,Alagapuri,yes,yes,no,medium,medium,medium,no,no,no,no,yes,medium,no,yes,no,no,no,no,no
3,Aranthangi,yes,no,yes,no,yes,yes,yes,yes,medium,medium,yes,yes,no,yes,no,no,no,no,no
4,Mathanpattavur,yes,yes,no,yes,yes,no,yes,no,no,no,medium,no,medium,yes,medium,yes,yes,yes,no
5,Nilakkotai,yes,yes,yes,yes,medium,medium,yes,yes,yes,yes,yes,no,no,yes,medium,no,yes,yes,no
6,Melapattu,yes,no,yes,medium,yes,yes,yes,yes,yes,yes,yes,medium,yes,yes,medium,yes,yes,yes,no
7,Pudukkottai,yes,medium,yes,medium,yes,yes,no,no,yes,yes,yes,medium,yes,yes,no,yes,medium,no,no
8,Senjai,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,medium,yes,yes,yes,no
9,Thirumalapuram,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,medium,no,yes,medium,no,yes,yes,no
10,palanjur,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,medium,medium,yes,no,yes,medium,no,no
11,thirumanur,no,yes,no,yes,yes,medium,yes,yes,yes,yes,medium,no,medium,yes,medium,yes,yes,yes,no
12,Ayyampet,yes,no,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no,yes,no,yes,medium,yes,no
13,Kondikulam,yes,no,yes,yes,yes,yes,medium,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no
14,pannavayal,yes,yes,no,medium,yes,no,no,yes,yes,no,medium,yes,yes,yes,no,yes,yes,yes,no
15,Naduvikkottai,yes,medium,yes,medium,yes,medium,yes,yes,no,medium,yes,no,no,yes,no,yes,yes,medium,no
16,Adambai,yes,medium,medium,medium,yes,medium,yes,yes,yes,medium,medium,yes,medium,yes,yes,no,yes,yes,no
17,thiruchitrambalam,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,medium,yes,medium,yes,no
18,Naatuchalai,yes,medium,yes,yes,yes,medium,medium,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no
19,Kalugupplikkadu,yes,no,medium,yes,yes,medium,yes,yes,yes,medium,medium,medium,yes,yes,yes,yes,yes,yes,no
20,Ottangadu,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,no
